A=5083 B=5388 C=5715 X=197127975 Y=6937747504 Z=10436823171 M=4593
A=3913 B=8291 C=9114 X=405106621 Y=6552766750 Z=43257594772 M=4789
A=4101 B=9036 C=9792 X=244584186 Y=8229031629 Z=31767641667 M=5812
A=4290 B=6757 C=8369 X=711258369 Y=9058333113 Z=43859907392 M=4670
A=7842 B=5431 C=6595 X=370725654 Y=3762014791 Z=78295353594 M=1482
A=8628 B=6192 C=9638 X=939798905 Y=9210299881 Z=15517374629 M=3446
A=4365 B=3169 C=5926 X=141672199 Y=1770421197 Z=24683219478 M=6642
A=6505 B=9252 C=8361 X=187152461 Y=9999294439 Z=60377959813 M=1944
A=2359 B=3837 C=7553 X=547051893 Y=5600491943 Z=40437137814 M=7531
A=3356 B=7012 C=8648 X=208888298 Y=4570738918 Z=43464110198 M=1206
A=7977 B=4904 C=9038 X=878367417 Y=4599339288 Z=21051589494 M=4717
A=9509 B=4169 C=5166 X=674756602 Y=5773596420 Z=68872379461 M=5060
A=4315 B=8004 C=8913 X=994509338 Y=6822555207 Z=47357494562 M=9023
A=2972 B=3329 C=5516 X=282835083 Y=4322024394 Z=11486754620 M=6275
A=6821 B=9669 C=8158 X=923293747 Y=6932320283 Z=74125441356 M=1746
A=6767 B=4200 C=9432 X=609075584 Y=6969509034 Z=99354239273 M=3173
A=2015 B=5740 C=5494 X=371102319 Y=8426659163 Z=84586449971 M=2067
A=9457 B=4870 C=6047 X=902042404 Y=2189325859 Z=59131131674 M=5908
A=5212 B=3255 C=8221 X=857212542 Y=9132091181 Z=28001644586 M=5429
A=5989 B=6180 C=9668 X=334126836 Y=7412986923 Z=71529418591 M=6689
A=9606 B=8038 C=8858 X=753415649 Y=2967237734 Z=83474736251 M=2057
A=8891 B=8353 C=7292 X=767192206 Y=4147115495 Z=52537046790 M=2470
A=4516 B=4341 C=8227 X=922017512 Y=8545473070 Z=13968633051 M=9988
A=6822 B=3601 C=5153 X=931522659 Y=3263915929 Z=59509199814 M=8076
A=3644 B=8893 C=6164 X=588883715 Y=9152078393 Z=21304457163 M=2901
A=6368 B=4846 C=7486 X=946119969 Y=1100379104 Z=84989840962 M=6567
A=6383 B=8655 C=5336 X=525582624 Y=8361353031 Z=24200048909 M=6069
A=6933 B=9536 C=7605 X=878742163 Y=2176706422 Z=40785602019 M=6506
A=7542 B=8605 C=7431 X=388234796 Y=1210910550 Z=68051915365 M=5512
A=5314 B=4437 C=7560 X=712434412 Y=4105386972 Z=98312595124 M=2409
A=6084 B=9195 C=7848 X=641998109 Y=7245426087 Z=45417440059 M=4357
A=5511 B=5473 C=7980 X=230532484 Y=9212840555 Z=61852487886 M=3440
A=2175 B=7991 C=8233 X=430946821 Y=3433783173 Z=13250923068 M=3039
A=7519 B=9027 C=6459 X=819801206 Y=2020398672 Z=40200353807 M=8922
A=9987 B=9079 C=5087 X=741948965 Y=5094856635 Z=80467601733 M=6089
A=3342 B=4329 C=7142 X=303939142 Y=6709020680 Z=17424158403 M=8614
A=2392 B=8635 C=9485 X=952216490 Y=3033900184 Z=36236125493 M=2827
A=5288 B=9741 C=6653 X=823591891 Y=4350948221 Z=29770040320 M=3013
A=3176 B=5789 C=6772 X=494971657 Y=3807488479 Z=27300917578 M=7580
A=5540 B=9444 C=7961 X=236207476 Y=1696678569 Z=48787870155 M=9284
A=2087 B=7005 C=8114 X=985394048 Y=4281792786 Z=33587280392 M=9648
A=7339 B=9149 C=8740 X=391269269 Y=6775622940 Z=38934750058 M=2591
A=7046 B=4010 C=8256 X=355251073 Y=2701426666 Z=10870351576 M=1918
A=6638 B=8437 C=7132 X=429299473 Y=4962145642 Z=81001310131 M=9428
A=6638 B=6977 C=6158 X=971240306 Y=4336653771 Z=73821202948 M=8650
A=8547 B=7948 C=8091 X=728647927 Y=4857714458 Z=52669772568 M=1893
A=8543 B=9538 C=7519 X=264818942 Y=7107566807 Z=34990168827 M=7458
A=6919 B=8197 C=6830 X=802913301 Y=6458882084 Z=72508123345 M=8178
A=6785 B=8385 C=7210 X=812658723 Y=1910191182 Z=62106076584 M=1911
A=3847 B=7614 C=6611 X=164546850 Y=8663203956 Z=85735884680 M=6292
A=5678 B=9257 C=7113 X=248409524 Y=5945840094 Z=84645357767 M=8929
A=2022 B=5870 C=8634 X=542740013 Y=4559878839 Z=43353410240 M=9083
A=7713 B=4661 C=9679 X=693342361 Y=3929410778 Z=17502890391 M=4365
A=8460 B=3607 C=7065 X=422951287 Y=7054864518 Z=14058447563 M=1136
A=2848 B=6517 C=9344 X=864977593 Y=3370314689 Z=31623848884 M=3263
A=6396 B=8460 C=8140 X=887083394 Y=8740420635 Z=89067187234 M=8442
A=3870 B=9751 C=9034 X=395375720 Y=2996235084 Z=29570517841 M=7740
A=2923 B=3182 C=8042 X=718881689 Y=9607719170 Z=87964301244 M=5636
A=7317 B=6989 C=5966 X=612046523 Y=7638325095 Z=83683497982 M=5215
A=6677 B=4911 C=7064 X=784674608 Y=9896272489 Z=95327570429 M=2217
A=8764 B=6929 C=9145 X=531713394 Y=1025291027 Z=50176600073 M=4098
A=5685 B=7462 C=7184 X=365517234 Y=3211271032 Z=89789205756 M=9466
A=3372 B=6838 C=8266 X=791469817 Y=9061369886 Z=71272149557 M=6032
A=3842 B=8241 C=7490 X=196955793 Y=7570464793 Z=63321326002 M=3284
A=9047 B=9734 C=6471 X=693672051 Y=6913011267 Z=62038695664 M=2071
A=4090 B=8016 C=7556 X=996681764 Y=6778170990 Z=88587765779 M=5914
A=9356 B=5330 C=9329 X=523004730 Y=5524080295 Z=87419391237 M=8337
A=7917 B=7664 C=6488 X=787989266 Y=9984136550 Z=65738445653 M=9718
A=6796 B=6182 C=8450 X=958897301 Y=7368165289 Z=38784103230 M=9432
A=7667 B=5530 C=8543 X=972153496 Y=3408234054 Z=52278067000 M=3710
A=5010 B=3242 C=6302 X=989792667 Y=9586266180 Z=99422373242 M=2648
A=4701 B=8363 C=5553 X=658538033 Y=5801577711 Z=54101971567 M=2251
A=8245 B=6393 C=6606 X=401203445 Y=4403652531 Z=49382045923 M=1378
A=9325 B=7072 C=9932 X=254766616 Y=8357264598 Z=79971936944 M=1363
A=2851 B=7965 C=6601 X=441040912 Y=8693391691 Z=61146840526 M=4049
A=5481 B=4754 C=9831 X=472326195 Y=7794276117 Z=90289876381 M=5876
A=2949 B=4024 C=8656 X=691350979 Y=8044400985 Z=11408230657 M=6013
A=3950 B=9379 C=8005 X=454563594 Y=4798643208 Z=80899404064 M=1741
A=6509 B=5576 C=8860 X=895173334 Y=5425870034 Z=41559464346 M=4182
A=8551 B=5487 C=9414 X=761112580 Y=6441214964 Z=16529619331 M=5858
A=7998 B=9892 C=8821 X=702993795 Y=2613313786 Z=61409780449 M=2402
A=7856 B=8923 C=7405 X=349636137 Y=5005066882 Z=85546445536 M=9251
A=4952 B=5022 C=8562 X=822501861 Y=6127421121 Z=43764323675 M=9267
A=5948 B=6319 C=8287 X=568955645 Y=6121449802 Z=21953620999 M=7975
A=2479 B=7667 C=8893 X=882719196 Y=3014102256 Z=25501573779 M=2556
A=3516 B=9176 C=9669 X=818446196 Y=9575100183 Z=71686088107 M=4571
A=7166 B=6800 C=5124 X=562127251 Y=4226918367 Z=55154796092 M=4497
A=8714 B=3835 C=8981 X=988950520 Y=4001098225 Z=48220190365 M=2588
A=7351 B=3793 C=8179 X=914688838 Y=8392140142 Z=17824216544 M=6651
A=8306 B=4606 C=8831 X=186661292 Y=6381188946 Z=73202160712 M=3283
A=7044 B=8976 C=6612 X=137152834 Y=2808612575 Z=20979091500 M=8715
A=2787 B=9737 C=6404 X=205175451 Y=3029804150 Z=74323966823 M=4960
A=5579 B=6514 C=8842 X=180559408 Y=5272041664 Z=16331925783 M=4768
A=7688 B=6125 C=6833 X=118862133 Y=7802414115 Z=71437398554 M=7996
A=4138 B=6219 C=8097 X=132400436 Y=2624302451 Z=34582685514 M=1416
A=2066 B=9762 C=8844 X=587731938 Y=9740746788 Z=47917771999 M=3628
A=2963 B=5077 C=7025 X=834968329 Y=1823476644 Z=60313553677 M=7687
A=9714 B=7174 C=5262 X=240003331 Y=2009106185 Z=44724941634 M=6939
A=6323 B=5494 C=9179 X=436457220 Y=8041752402 Z=84790106222 M=8462
A=7353 B=5050 C=8349 X=913100268 Y=8429550465 Z=44308946699 M=9023
A=9544 B=6555 C=6306 X=366621175 Y=2030385212 Z=15992558915 M=1326
A=3755 B=6018 C=9454 X=828632418 Y=9334073880 Z=17874554067 M=4090
A=6382 B=3868 C=9951 X=679640216 Y=5235281304 Z=83347882952 M=2344
A=6890 B=3781 C=8582 X=857274548 Y=5138149190 Z=19027839501 M=6202
A=8966 B=5458 C=9871 X=257060527 Y=9678820600 Z=68462217006 M=7648
A=6040 B=4941 C=8072 X=870386639 Y=7467677033 Z=63383207260 M=7173
A=4511 B=5506 C=7465 X=137405376 Y=8973279951 Z=56719315473 M=5178
A=4176 B=4275 C=9229 X=763309589 Y=3799960324 Z=44061658614 M=3205
A=5478 B=7918 C=9671 X=155175505 Y=4183272383 Z=83134206044 M=4508
A=5460 B=5969 C=5721 X=696481640 Y=1671941800 Z=39848214224 M=2217
A=3742 B=4346 C=5325 X=728715104 Y=7951084083 Z=77597650856 M=5713
A=6140 B=6479 C=8246 X=248887634 Y=9472979763 Z=97128359823 M=9049
A=3763 B=7542 C=6681 X=882939944 Y=4816721463 Z=88462343386 M=9448
A=9921 B=4942 C=9499 X=988360020 Y=7108646064 Z=60332970601 M=3711
A=7783 B=9274 C=5708 X=574595628 Y=3907522428 Z=27740984525 M=1049
A=6915 B=8510 C=8380 X=805253833 Y=8631400695 Z=98702703107 M=9437
A=7487 B=6363 C=5400 X=153191494 Y=8178664056 Z=56220573497 M=4690
A=5081 B=8330 C=6059 X=261233490 Y=3023149739 Z=98033933522 M=2865
A=6092 B=5969 C=8728 X=472808290 Y=8453280670 Z=37574724962 M=2270
A=9886 B=7634 C=6606 X=821036476 Y=1661300052 Z=47761151016 M=5974
A=5190 B=9956 C=6845 X=408493206 Y=3469685363 Z=12873814806 M=7226
A=6241 B=5282 C=9759 X=612744215 Y=3623294661 Z=74629204314 M=7840
A=7578 B=9486 C=9236 X=237715865 Y=1289137901 Z=30717379608 M=6472
A=3780 B=5134 C=6000 X=551843218 Y=7493681660 Z=99423244869 M=2899
A=7472 B=8834 C=6714 X=428801614 Y=4947502080 Z=89126068493 M=4234
A=5210 B=6422 C=9044 X=642380873 Y=3600442236 Z=28823768432 M=4026
A=3042 B=6773 C=8871 X=298730968 Y=2248300729 Z=29297947482 M=2813
A=3174 B=8804 C=9859 X=142038607 Y=7008917734 Z=34039401965 M=4212
A=7766 B=8571 C=6503 X=692510301 Y=8569119615 Z=14674365383 M=2031
A=3355 B=5722 C=5116 X=992048481 Y=7903460840 Z=58824401581 M=4328
A=8097 B=4117 C=8165 X=884481885 Y=9651622479 Z=25081678544 M=6442
A=5181 B=3935 C=9002 X=960774600 Y=7474862375 Z=48751636853 M=8693
A=8742 B=4141 C=6639 X=593205120 Y=6321755452 Z=70282012518 M=4578
A=7521 B=6678 C=6273 X=450327800 Y=3586189381 Z=48648616280 M=4271
A=4669 B=8107 C=6791 X=274443349 Y=3401785799 Z=47741301581 M=6597
A=7037 B=5326 C=7288 X=476708215 Y=9110472225 Z=60072647629 M=5602
A=3242 B=6914 C=6635 X=850294644 Y=5977586566 Z=75570887443 M=4971
A=6749 B=3958 C=7939 X=595059832 Y=3227996472 Z=74059340311 M=7467
A=9295 B=4316 C=9306 X=810142770 Y=3007332288 Z=94410460794 M=6254
A=3611 B=4087 C=7415 X=692259055 Y=4956545118 Z=26878162915 M=1144
A=5784 B=8169 C=9818 X=904542000 Y=5984857226 Z=92838473365 M=2380
A=7758 B=8402 C=7200 X=904410831 Y=3286437999 Z=27842406214 M=1714
A=5732 B=4978 C=9895 X=675721023 Y=8911843966 Z=44126843775 M=4817
A=3323 B=3092 C=8319 X=896075752 Y=3737763127 Z=70961825531 M=9483
A=6516 B=9691 C=9092 X=833033719 Y=3351151136 Z=28789681642 M=1637
A=4344 B=4159 C=6568 X=269094286 Y=7823769433 Z=58582875834 M=8869
A=6467 B=7344 C=6026 X=697235762 Y=3645762884 Z=24851832131 M=1643
A=5171 B=6399 C=8447 X=601247584 Y=5259850073 Z=59383052182 M=9125
A=3145 B=4612 C=7037 X=777028230 Y=4593192112 Z=73820210076 M=4624
A=3563 B=3335 C=7418 X=831601142 Y=4861538802 Z=49521267630 M=1984
A=3503 B=9682 C=9516 X=112126529 Y=9442132411 Z=69403309259 M=6475
A=7187 B=3124 C=8137 X=273161049 Y=1926768176 Z=88105724405 M=8984
A=6885 B=9751 C=7935 X=289116833 Y=8590354804 Z=26349833562 M=7568
A=5548 B=3637 C=6645 X=636355345 Y=1702147729 Z=71072769891 M=3659
A=6674 B=3269 C=5316 X=881441432 Y=4153124151 Z=60618775335 M=2931
A=7322 B=9732 C=9982 X=936871483 Y=3428410343 Z=79415335472 M=6019
A=7009 B=5091 C=7298 X=216263044 Y=4023323171 Z=94903292407 M=1724
A=4154 B=3728 C=8199 X=612088672 Y=3707467247 Z=41790084978 M=8625
A=3453 B=4146 C=9576 X=264131245 Y=1305927096 Z=60824448704 M=1720
A=5819 B=9693 C=7342 X=215688904 Y=1875580283 Z=28169663626 M=8080
A=4986 B=4908 C=5234 X=471940613 Y=4796139397 Z=35196036430 M=3440
A=3909 B=5749 C=6616 X=377338406 Y=2941319441 Z=52352999405 M=8489
A=9088 B=4900 C=5885 X=493667780 Y=8674343868 Z=65844788365 M=9892
A=2183 B=4159 C=8522 X=771796845 Y=4351561599 Z=32197063984 M=9807
A=8722 B=9649 C=5093 X=165971984 Y=9153795006 Z=67560853020 M=1534
A=6570 B=6846 C=7392 X=270676990 Y=3715459947 Z=76757021624 M=3188
A=2929 B=5361 C=5747 X=788866318 Y=7980894247 Z=10039049732 M=2827
A=4974 B=4831 C=8850 X=535618210 Y=3438753020 Z=69733024009 M=6442
A=5655 B=6634 C=8253 X=648003201 Y=2649237406 Z=87112330880 M=1916
A=5703 B=7299 C=7570 X=480000462 Y=1989238401 Z=93917813067 M=9764
A=6189 B=4977 C=8109 X=828249672 Y=4685032570 Z=27873074540 M=9856
A=2575 B=3193 C=8211 X=845739062 Y=6926401149 Z=61155620028 M=5517
A=8347 B=7523 C=9400 X=210253104 Y=9673272737 Z=31364401211 M=7613
A=5327 B=7646 C=5857 X=862511632 Y=7425921137 Z=56864470509 M=2507
A=2914 B=9239 C=6203 X=563417590 Y=1373033329 Z=95276071325 M=4978
A=9456 B=9387 C=7497 X=824508862 Y=9513992692 Z=57022796339 M=7966
A=8447 B=6731 C=7000 X=413858912 Y=7909287728 Z=22326225189 M=4619
A=3332 B=8499 C=6447 X=291211687 Y=2442491407 Z=16784774641 M=5020
A=7278 B=7887 C=8036 X=485790739 Y=1569546051 Z=74879161626 M=9803
A=6168 B=4701 C=5551 X=992795302 Y=8866919043 Z=28822478709 M=8665
A=2867 B=8632 C=9414 X=980223606 Y=5788634310 Z=44888629124 M=7869
A=7919 B=4968 C=5654 X=161325998 Y=1283234185 Z=73777213794 M=9740
A=5476 B=6946 C=9509 X=934412908 Y=4337327991 Z=99270979189 M=1960
A=8680 B=7143 C=5570 X=777663558 Y=1366045827 Z=72480378172 M=9010
A=2439 B=8202 C=6028 X=547598544 Y=4633968610 Z=27021869793 M=5979
A=4774 B=3306 C=9865 X=975754038 Y=8522973562 Z=19323898090 M=3117
A=3291 B=3233 C=7523 X=987402708 Y=3370164296 Z=50331925193 M=9142
A=5669 B=8317 C=8179 X=772196759 Y=6939169691 Z=46627151377 M=7546
A=5083 B=9031 C=5028 X=808683427 Y=2871208166 Z=68784208957 M=6730
A=6662 B=3852 C=9173 X=608369286 Y=5556084121 Z=33570961455 M=4775
A=4650 B=3371 C=8027 X=891655110 Y=5636885684 Z=90369749306 M=9940
A=3991 B=7802 C=5328 X=817467909 Y=8279129740 Z=61384622247 M=8512
A=4166 B=8630 C=5859 X=592760961 Y=3685782390 Z=38647786968 M=2513
A=4293 B=8665 C=9130 X=223980353 Y=7065910070 Z=21863486802 M=8237
A=2823 B=7833 C=7609 X=141226389 Y=8651182899 Z=28806814426 M=2930
A=2520 B=6453 C=7427 X=634516047 Y=2509383218 Z=18802688385 M=7778
A=4566 B=6739 C=6724 X=234163898 Y=8337472575 Z=86321152586 M=4709
A=3302 B=4331 C=5806 X=658861071 Y=4901409427 Z=32776010476 M=7766
A=6701 B=5254 C=8512 X=418213078 Y=9853383187 Z=81123303587 M=2936
A=3407 B=3872 C=5857 X=416842708 Y=9345832326 Z=78191223357 M=5305
A=4114 B=8219 C=9037 X=272125969 Y=5412182221 Z=84257551146 M=3683
A=2081 B=9067 C=6130 X=449409531 Y=8795829783 Z=68971079747 M=4853
A=4035 B=9143 C=9421 X=131977353 Y=4008970601 Z=48123071579 M=1820
A=8537 B=8796 C=5130 X=410776021 Y=6672737066 Z=10150904899 M=9901
A=9423 B=7885 C=8289 X=249220641 Y=1031966104 Z=23556732375 M=5662
A=4928 B=8859 C=9435 X=268813459 Y=1151837424 Z=77688889626 M=7724
A=6031 B=3894 C=6498 X=317456868 Y=5288630859 Z=23548553892 M=9791
A=5931 B=4720 C=5152 X=770180907 Y=4135360180 Z=10403844770 M=9879
A=7404 B=6417 C=9271 X=999092069 Y=2400480727 Z=72370915079 M=7464
A=5023 B=9183 C=6751 X=764264402 Y=6030720115 Z=69875793087 M=7155
A=8423 B=4742 C=6372 X=500812381 Y=5881524400 Z=80428300368 M=1779
A=2223 B=6079 C=6402 X=932747262 Y=1982642503 Z=16278499871 M=7611
A=6655 B=9931 C=5630 X=389373587 Y=2447171508 Z=41784799566 M=8924
A=2495 B=7620 C=5971 X=372364523 Y=3861566530 Z=97928141478 M=1949
A=5132 B=4168 C=9361 X=756503350 Y=5001226236 Z=21344785834 M=5401
A=4012 B=5701 C=8262 X=781394856 Y=8362933706 Z=62583863607 M=9244
A=3210 B=8118 C=8708 X=416260378 Y=1729994548 Z=71415993071 M=3422
A=6077 B=4090 C=6525 X=895945645 Y=6718563495 Z=93142292504 M=6708
A=9193 B=9483 C=5489 X=508071129 Y=7385237420 Z=17353577735 M=7886
A=7498 B=4158 C=8797 X=350002367 Y=8448529880 Z=60517393251 M=4743
A=8785 B=9299 C=6213 X=413343599 Y=3813711211 Z=27772626595 M=3676
A=8451 B=7097 C=9131 X=875801621 Y=7192115389 Z=47288316642 M=2999
A=4223 B=3146 C=6496 X=912223107 Y=6595595311 Z=50268040505 M=3434
A=6206 B=8109 C=5887 X=316501194 Y=9344208020 Z=69653016609 M=3822
A=8437 B=3814 C=9463 X=678551510 Y=2297104099 Z=54905486898 M=6130
A=7385 B=4096 C=8594 X=538125651 Y=9736567917 Z=99850739222 M=3809
A=3502 B=4347 C=5828 X=542189128 Y=7717630336 Z=22740194946 M=5838
A=8654 B=3765 C=8312 X=667439191 Y=6225770220 Z=76171556381 M=7943
A=8984 B=9777 C=5330 X=747443386 Y=8357598712 Z=35741071067 M=3726
A=7780 B=5230 C=8154 X=317417341 Y=4469514024 Z=28776668679 M=4156
A=6390 B=6174 C=6182 X=930078205 Y=5428123656 Z=84819538134 M=2056
A=5336 B=4274 C=9799 X=222751371 Y=2729108964 Z=46294910483 M=2208
A=5998 B=7045 C=7224 X=390438966 Y=4951673701 Z=69860055736 M=2829
A=9262 B=3795 C=6589 X=530534413 Y=2977503316 Z=58311315050 M=2212
A=3382 B=5528 C=7155 X=615307923 Y=6855649851 Z=47240438711 M=5880
A=8078 B=4284 C=7687 X=208490543 Y=8667342928 Z=44970859616 M=6979
A=9943 B=3666 C=5457 X=622489219 Y=9899280801 Z=70804623925 M=9579
A=8830 B=7232 C=5380 X=787211217 Y=2482864754 Z=88482180141 M=7913
A=8065 B=9968 C=6314 X=783482405 Y=7717230354 Z=36522225760 M=6057
A=3878 B=7405 C=6751 X=426415716 Y=6531699018 Z=88599837833 M=5056
A=7077 B=8385 C=7933 X=558217177 Y=6922905715 Z=84686986112 M=1499
A=3654 B=6225 C=6498 X=423349042 Y=6774924626 Z=12746435661 M=4407
A=9122 B=3575 C=6514 X=127999351 Y=7860299384 Z=99965014314 M=4749
A=3092 B=7682 C=9040 X=349041655 Y=5554439343 Z=42053710613 M=1018
A=2559 B=3153 C=7945 X=453957414 Y=7360570756 Z=46360331520 M=9765
A=7912 B=5921 C=6986 X=460392994 Y=8754625682 Z=93746094705 M=1402
A=6646 B=6823 C=5948 X=301700625 Y=4709301050 Z=87871351919 M=4442
A=2586 B=7947 C=5636 X=629312321 Y=5845377277 Z=74434006669 M=9192
A=2335 B=6869 C=5494 X=176133253 Y=8577757457 Z=72694515911 M=6447
A=6567 B=3894 C=5862 X=925513158 Y=1214381488 Z=86783386314 M=8887
A=2430 B=8791 C=6368 X=571939554 Y=2565112990 Z=25269065281 M=2021
A=9999 B=8563 C=8496 X=816314560 Y=4740862310 Z=88698550178 M=6148
A=9134 B=6250 C=8949 X=526789929 Y=6382383539 Z=82626565355 M=6708
A=7749 B=9044 C=6925 X=577004058 Y=7950340789 Z=37644904245 M=1039
A=3133 B=3282 C=5628 X=823454018 Y=8400512550 Z=90364539362 M=6864
A=2931 B=7213 C=9701 X=831068246 Y=9603990647 Z=37436439280 M=4419
A=3396 B=4284 C=7252 X=560585763 Y=4479176639 Z=19919282186 M=1286
A=6116 B=5575 C=7720 X=753937556 Y=3109972428 Z=25182353137 M=3873
A=8582 B=7783 C=5149 X=891855258 Y=3013307331 Z=13227741298 M=8674
A=3354 B=6073 C=9014 X=172837602 Y=2024962499 Z=88986871280 M=4267
A=8195 B=6919 C=9986 X=305036959 Y=9368436135 Z=76111677087 M=3264
A=6372 B=6505 C=5883 X=331728692 Y=5944811430 Z=19489498986 M=9150
A=8928 B=7965 C=5745 X=526839740 Y=2634617049 Z=96181100436 M=2064
A=5694 B=3968 C=8458 X=497217222 Y=9855306826 Z=93684488207 M=6273
A=7401 B=3876 C=7587 X=685133889 Y=3792428255 Z=30649179088 M=4817
A=9313 B=7825 C=7353 X=716997100 Y=1824455934 Z=52863106660 M=6966
A=6663 B=7861 C=7701 X=564895073 Y=9223995753 Z=34571261457 M=5966
A=5850 B=5842 C=6315 X=317138564 Y=9096625213 Z=54810255735 M=1781
A=3260 B=6547 C=8389 X=284477485 Y=4216842725 Z=10276440036 M=8257
A=4948 B=3249 C=8335 X=512557662 Y=2783855001 Z=54236437139 M=9372
A=4722 B=8417 C=8072 X=231987836 Y=7046436935 Z=45644778782 M=3341
A=3697 B=9622 C=5672 X=365232496 Y=2481067700 Z=54849434631 M=6606
A=3347 B=8858 C=8971 X=467203634 Y=4377517231 Z=36845051887 M=6729
A=5520 B=3714 C=9915 X=628002158 Y=8203213481 Z=82089103932 M=1369
A=6091 B=9870 C=9783 X=541869121 Y=4334461279 Z=90485200688 M=2518
A=5453 B=5900 C=5937 X=212403889 Y=4725898126 Z=32443074748 M=2794
A=8542 B=8675 C=7212 X=198525476 Y=8216383869 Z=81550866122 M=6255
A=5809 B=8936 C=7278 X=900827183 Y=1978149295 Z=76401202386 M=3662
A=7791 B=4495 C=6952 X=432118232 Y=3846266477 Z=41994940953 M=7284
A=5431 B=9589 C=8300 X=186127564 Y=5601269122 Z=76430649662 M=4415
A=8788 B=3336 C=8342 X=554873315 Y=5929393926 Z=33085611333 M=5065
A=2663 B=8444 C=8980 X=853365049 Y=3121113965 Z=27807510483 M=4736
A=6607 B=6689 C=9823 X=436726689 Y=5776724576 Z=81083217622 M=2404
A=9408 B=7688 C=7045 X=438841264 Y=3265100516 Z=84547048943 M=3158
A=7482 B=3442 C=6126 X=706148763 Y=7019607962 Z=36555853962 M=2696
A=4807 B=4870 C=9707 X=967354778 Y=6080484407 Z=10860070039 M=3231
A=4908 B=8737 C=6224 X=654887831 Y=7970376899 Z=56903914690 M=4098
A=5746 B=5237 C=7396 X=593847405 Y=7949238120 Z=38336271569 M=5623
A=3638 B=5182 C=9832 X=289146078 Y=6328052022 Z=21822721600 M=8067
A=2682 B=5187 C=5233 X=919356419 Y=9464043197 Z=26639160299 M=8567
A=3263 B=7933 C=8728 X=989446004 Y=3421162563 Z=15075401888 M=7603
A=5448 B=5056 C=9671 X=251694777 Y=7595544539 Z=59647709657 M=2556
A=3564 B=9948 C=5291 X=176542751 Y=9924791640 Z=12554462591 M=3321
A=6626 B=4506 C=8171 X=995566194 Y=4687770246 Z=97887846972 M=7481
A=2268 B=5103 C=6324 X=716124361 Y=8488751328 Z=28816910667 M=1762
A=9765 B=8029 C=6719 X=406614644 Y=7216020126 Z=54413347071 M=3554
A=5987 B=5107 C=8378 X=146391346 Y=6875512877 Z=84211230011 M=6199
A=3050 B=3230 C=8999 X=396524708 Y=4876696089 Z=12305011051 M=4856
A=8074 B=7283 C=5759 X=488197002 Y=2932567553 Z=70160086567 M=3285
A=9213 B=6336 C=5491 X=533158763 Y=8588642681 Z=87099166199 M=2829
A=8198 B=5062 C=5641 X=196341873 Y=2565463599 Z=63542577192 M=4712
A=6409 B=5837 C=6648 X=449417712 Y=5304373567 Z=23516466552 M=8220
A=2924 B=7120 C=6407 X=345810469 Y=6188542702 Z=61748040529 M=8677
A=4424 B=8640 C=6294 X=823239017 Y=1599532851 Z=78123904813 M=3621
A=3658 B=8220 C=9565 X=641292788 Y=2671180869 Z=30884261255 M=2162
A=4317 B=4403 C=8961 X=302141805 Y=8644962080 Z=97387136911 M=8603
A=6109 B=8425 C=6434 X=668756203 Y=6207251231 Z=71268110606 M=9330
A=2708 B=9299 C=8543 X=580191462 Y=9697457659 Z=72192848562 M=4986
A=8943 B=8959 C=8175 X=215600798 Y=1768828260 Z=95799788251 M=6407
A=6349 B=7189 C=8990 X=368241000 Y=9192529520 Z=36435626628 M=9278
A=2720 B=5596 C=5830 X=843881587 Y=2255779166 Z=15531191459 M=1542
A=2825 B=4809 C=9279 X=682208794 Y=2250515394 Z=52044758629 M=5752
A=9915 B=8075 C=5096 X=782758619 Y=2016930892 Z=12885557721 M=6788
A=4214 B=3221 C=6521 X=263415552 Y=1176425376 Z=25096868384 M=7891
A=5964 B=8447 C=6843 X=987330977 Y=9016616794 Z=77103532810 M=4576
A=7771 B=4371 C=8903 X=570213157 Y=9981515292 Z=39491825041 M=6665
A=7511 B=6516 C=8553 X=715938372 Y=8822440195 Z=43315566165 M=2472
A=8423 B=7174 C=9988 X=878579792 Y=6744077972 Z=15287823942 M=9627
A=8659 B=9727 C=6159 X=415919038 Y=2588764121 Z=52490166504 M=9367
A=3348 B=9189 C=8525 X=786802090 Y=4907225837 Z=55519828206 M=8033
A=6625 B=5829 C=9045 X=622193317 Y=5897018365 Z=37836562861 M=8895
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=7080 B=8828 C=8239 X=896844135 Y=4941258353 Z=78088996281 M=9566
A=7693 B=5916 C=6333 X=733134144 Y=1186462086 Z=35165437030 M=3377
A=9420 B=4121 C=5778 X=334839110 Y=5460818824 Z=83180067492 M=3559
A=7556 B=3395 C=7546 X=470214291 Y=5909440381 Z=60250590004 M=5042
A=5428 B=9703 C=6181 X=455886534 Y=6519221079 Z=86159296361 M=1180
A=8338 B=8095 C=5019 X=121506055 Y=8419914740 Z=44160140566 M=6368
A=3827 B=4638 C=5830 X=160542700 Y=5126111073 Z=42685353955 M=7733
A=5645 B=9439 C=7959 X=457253641 Y=8183287751 Z=77383470244 M=4813
A=4217 B=5390 C=8467 X=890471956 Y=5502919628 Z=95132937280 M=7877
A=5202 B=8545 C=5714 X=890253082 Y=6430637548 Z=63161671153 M=2724
A=6284 B=5290 C=5434 X=497139417 Y=6875866400 Z=94986770849 M=8459
